,Date,Team,Acquired,Relinquished,Notes,Injury Type
2063,2012-04-22,Raptors,,Jose Calderon,right eye injury (DNP),face
2064,2012-04-22,Rockets,,Kyle Lowry,hernia (out for season),Misc.
2065,2012-04-22,Spurs,,Tim Duncan,rest (DNP),rest
2066,2012-04-22,Timberwolves,,Darko Milicic,strained right hamstring (DNP),hamstring
2067,2012-04-22,Timberwolves,,Kevin Love,concussion (DNP),head
2068,2012-04-22,Timberwolves,,Malcolm Lee / Malcom Lee,illness (DNP),illness
2069,2012-04-22,Warriors,,Andris Biedrins,concussion (DNP),head
2070,2012-04-22,Warriors,,David Lee,strained groin (DNP),groin
2071,2012-04-23,Blazers,,Jamal Crawford,right knee tendinitis (DNP),knee
2072,2012-04-23,Blazers,,Joel Przybilla,bronchitis (DNP),illness
2073,2012-04-23,Blazers,,LaMarcus Aldridge,right hip injury (DNP),hip
2074,2012-04-23,Bucks,,Carlos Delfino,strained right groin (DNP),groin
2075,2012-04-23,Nets,,Deron Williams,sore right calf (DNP),calf
2076,2012-04-23,Nets,,Jordan Farmar,sore right groin (DNP),groin
2077,2012-04-23,Nets,,Shelden Williams,hyperextended right knee (DNP),knee
2078,2012-04-23,Pacers,,George Hill,sore left shoulder (DNP),shoulder
2079,2012-04-23,Pacers,,Roy Hibbert,rest (DNP),rest
2080,2012-04-23,Raptors,,Jose Calderon,right eye injury (DNP),face
2081,2012-04-23,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),foot
2082,2012-04-24,Celtics,,Greg Stiemsma,sore right foot (DNP),foot
2083,2012-04-24,Celtics,,Kevin Garnett,hip flexor injury (DNP),hip
2084,2012-04-24,Celtics,,Rajon Rondo,sore lower back (DNP),back
2085,2012-04-24,Heat,,Chris Bosh,leg muscle fatigue (DNP),leg
2086,2012-04-24,Heat,,Dwyane Wade,dislocated left index finger (DNP),hand/finger
2087,2012-04-24,Heat,,LeBron James,rest (DNP),rest
2088,2012-04-24,Hornets,,Chris Kaman,bruised left tibia (DNP),bruise
2089,2012-04-24,Hornets,,Eric Gordon,rest (DNP),rest
2090,2012-04-24,Hornets,,Jason Smith,sprained left ankle (DNP),ankle
2091,2012-04-24,Hornets,,Trevor Ariza,DNP (P),Misc.
2092,2012-04-24,Jazz,,Earl Watson,knee injury (DNP),knee
2093,2012-04-24,Kings,,Hassan Whiteside,sprained right ankle (DNP),ankle
2094,2012-04-24,Kings,,Marcus Thornton (T.),quadriceps injury (DNP),quad
2095,2012-04-24,Kings,,Terrence Williams,illness (DNP),illness
2096,2012-04-24,Spurs,,Gary Neal,left shoulder injury (DTD),shoulder
2097,2012-04-24,Suns,,Channing Frye,right shoulder injury (DNP),shoulder
2098,2012-04-24,Warriors,,Andris Biedrins,concussion (DNP),head
2099,2012-04-24,Warriors,,David Lee,strained groin (DNP),groin
2100,2012-04-25,76ers,,Andre Iguodala,rest (DNP),rest
2101,2012-04-25,76ers,,Louis Williams / Lou Williams,rest (DNP),rest
2102,2012-04-25,76ers,,Thaddeus Young,rest (DNP),rest
2103,2012-04-25,Bucks,,Carlos Delfino,strained right groin (DNP),groin
2104,2012-04-25,Bucks,,Drew Gooden,rest (DNP),rest
2105,2012-04-25,Bucks,,Ersan Ilyasova,right knee / thigh injury (DNP),knee
2106,2012-04-25,Bucks,,Monta Ellis,right hand injury (DNP),hand/finger
2107,2012-04-25,Clippers,,Chris Paul,strained left groin (DNP),groin
2108,2012-04-25,Pacers,,Kyrylo Fesenko,stomach flu (DNP),illness
2109,2012-04-25,Pacers,,Leandro Barbosa,sprained left ankle (DNP),ankle
2110,2012-04-25,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DNP),rest
2111,2012-04-25,Spurs,,Gary Neal,left shoulder injury (DNP),shoulder
2112,2012-04-25,Suns,,Channing Frye,right shoulder injury (DNP),shoulder
2113,2012-04-25,Suns,,Grant Hill,recovering from surgery on right knee to repair torn meniscus (DNP),knee
2114,2012-04-25,Warriors,,Stephen Curry,arthroscopic surgery on right ankle (out for season),ankle
2115,2012-04-25,Wizards,,Jordan Crawford,sprained right ankle (DNP),ankle
2116,2012-04-25,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),foot
2117,2012-04-26,76ers,,Andre Iguodala,rest (DNP),rest
2118,2012-04-26,76ers,,Jrue Holiday,rest (DNP),rest
2119,2012-04-26,76ers,,Louis Williams / Lou Williams,rest (DNP),rest
2120,2012-04-26,76ers,,Thaddeus Young,rest (DNP),rest
2121,2012-04-26,Blazers,,Jamal Crawford,right knee tendinitis (DNP),knee
2122,2012-04-26,Blazers,,LaMarcus Aldridge,right hip injury (DNP),hip
2123,2012-04-26,Blazers,,Raymond Felton,DNP,Misc.
2124,2012-04-26,Bobcats,,Derrick Brown,sprained right ankle (DNP),ankle
2125,2012-04-26,Bobcats,,Reggie Williams,left knee tendinitis (DNP),knee
2126,2012-04-26,Bucks,,Carlos Delfino,strained right groin (DNP),groin
2127,2012-04-26,Bucks,,Drew Gooden,rest (DNP),rest
2128,2012-04-26,Bucks,,Ersan Ilyasova,right knee injury (DNP),knee
2129,2012-04-26,Bucks,,Monta Ellis,right hand injury (DNP),hand/finger
2130,2012-04-26,Bulls,,Derrick Rose,rest (DNP),rest
2131,2012-04-26,Bulls,,Kyle Korver,rest (DNP),rest
2132,2012-04-26,Cavaliers,,Kyrie Irving,rest (DNP),rest
2133,2012-04-26,Cavaliers,,Omri Casspi,right knee tendinitis (DNP),knee
2134,2012-04-26,Hawks,,Jannero Pargo,back injury (DNP),back
2136,2012-04-26,Heat,,Chris Bosh,placed on IL with leg muscle fatigue,leg
2137,2012-04-26,Heat,,LeBron James,rest (DNP),rest
2138,2012-04-26,Hornets,,Chris Kaman,bruised left tibia (DNP),bruise
2139,2012-04-26,Hornets,,Gustavo Ayon,concussion (DNP),head
2140,2012-04-26,Hornets,,Trevor Ariza,DNP (P),Misc.
2141,2012-04-26,Kings,,Hassan Whiteside,sprained right ankle (DNP),ankle
2142,2012-04-26,Knicks,,Baron Davis,rest (DNP),rest
2143,2012-04-26,Knicks,,Carmelo Anthony,rest (DNP),rest
2144,2012-04-26,Knicks,,Toney Douglas,virus (DNP),illness
2145,2012-04-26,Knicks,,Tyson Chandler,rest (DNP),rest
2146,2012-04-26,Lakers,,Andrew Bynum,rest (DNP),rest
2147,2012-04-26,Lakers,,Kobe Bryant,rest (DNP),rest
2148,2012-04-26,Lakers,,Pau Gasol,rest (DNP),rest
2149,2012-04-26,Magic,,J.J. Redick,DNP,Misc.
2150,2012-04-26,Magic,,Jameer Nelson,DNP,Misc.
2151,2012-04-26,Magic,,Jason Richardson,DNP,Misc.
2152,2012-04-26,Magic,,Ryan Anderson,DNP,Misc.
2153,2012-04-26,Nets,,Deron Williams,sore right calf (DNP),calf
2154,2012-04-26,Nets,,Gerald Wallace,DNP,Misc.
2155,2012-04-26,Nets,,Jordan Farmar,sore right groin (DNP),groin
2156,2012-04-26,Nets,,Kris Humphries,bruised right big toe (DNP),bruise
2157,2012-04-26,Nets,,Shelden Williams,left knee injury (DNP),knee
2158,2012-04-26,Raptors,,Jose Calderon,right eye injury (DNP),face
2159,2012-04-26,Raptors,,Linas Kleiza,DNP,Misc.
2160,2012-04-26,Rockets,,Chandler Parsons,bruised right shoulder (DNP),bruise
2161,2012-04-26,Rockets,,Kyle Lowry,hernia (DNP),Misc.
2162,2012-04-26,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DNP),rest
2163,2012-04-26,Spurs,,Gary Neal,left shoulder injury (DNP),shoulder
2164,2012-04-26,Spurs,,Kawhi Leonard,rest (DNP),rest
2165,2012-04-26,Spurs,,Stephen Jackson,rest (DNP),rest
2166,2012-04-26,Warriors,,Andris Biedrins,concussion (DNP),head
2167,2012-04-26,Warriors,,Richard Jefferson,rest (DNP),rest
2168,2012-04-26,Wizards,,Jordan Crawford,sprained right ankle (DNP),ankle
2169,2012-04-26,Warriors,,David Lee,surgery to repair torn abdominal muscle (out for season),core
2170,2012-04-26,Warriors,,David Lee,recovering from surgery to repair torn abdominal muscle (DNP),core
2171,2012-04-28,Bulls,,Derrick Rose,torn ACL in left knee (out for season),knee
2173,2012-04-28,Knicks,,Iman Shumpert,torn lateral meniscus / ACL (CBC) in left knee (out for season),knee
2174,2012-04-29,Clippers,,Caron Butler,fractured metacarpal bone in left hand (out for season),hand/finger
2175,2012-04-30,Knicks,,Amare Stoudemire / Amar'e Stoudemire,left hand injury (DTD),hand/finger
2176,2012-04-30,Nuggets,,Wilson Chandler,surgery on left hip to repair torn labrum (out for season),hip
2177,2012-05-01,Rockets,,Kyle Lowry,surgery to repair sports hernia (out indefinitely),Misc.
2178,2012-05-02,Spurs,,Tiago Splitter,wrist injury (DNP),wrist
2179,2012-05-02,Suns,,Channing Frye,surgery on right shoulder (out indefinitely),shoulder
2180,2012-05-03,Bucks,,Carlos Delfino,surgery to repair sports hernia (out indefinitely),Misc.
2181,2012-05-04,Hawks,,Josh Smith,left knee tendinitis (DNP),knee
2182,2012-05-06,Bulls,,Joakim Noah,sprained left ankle (DNP),ankle
2183,2012-05-06,Knicks,,Baron Davis,"torn ACL, MCL, and patella tendon in right knee (out for season)",knee
2184,2012-05-07,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,surgery on right knee to repair tendinitis,knee
2185,2012-05-08,Bulls,,Joakim Noah,sprained left ankle (DNP),ankle
2186,2012-05-10,Blazers,,LaMarcus Aldridge,arthroscopic surgery on right hip to repair torn labrum (out indefinitely),hip
2187,2012-05-10,Bulls,,Joakim Noah,sprained left ankle (DNP),ankle
2188,2012-05-12,Bulls,,Derrick Rose,surgery on left knee to repair torn ACL,knee
2189,2012-05-15,Timberwolves,,Nikola Pekovic,surgery on right ankle to remove bone spurs (out indefinitely),ankle
2190,2012-05-16,Nuggets,,Al Harrington,surgery on right knee to repair torn meniscus (out indefinitely),knee
2191,2012-05-25,Celtics,,Avery Bradley,surgery on left shoulder (out for season),shoulder
2192,2012-06-12,Heat,,James Jones (b),migraine headache (DNP),head
2193,2012-06-14,Celtics,,Mickael Pietrus,arthroscopic surgery on right knee (out indefinitely),knee
2194,2012-06-14,Celtics,,Ray Allen,arthroscopic surgery on right ankle to remove bone spurs (out indefinitely),ankle
2195,2012-07-10,Heat,,Dwyane Wade,surgery on left knee (out indefinitely),knee
2196,2012-07-11,Thunder,,Hollis Thompson,surgery on left groin (out indefinitely),groin
2197,2012-07-12,Clippers,,Blake Griffin,torn meniscus in left knee (out indefinitely),knee
2198,2012-07-12,Thunder,,Kendrick Perkins,surgery on right groin (out indefinitely),groin
2199,2012-07-14,Cavaliers,,Kyrie Irving,broken right hand (out indefinitely),hand/finger
2200,2012-07-16,Clippers,,Blake Griffin,surgery on left knee to repair torn meniscus (out indefinitely),knee
2201,2012-07-18,Cavaliers,,Kyrie Irving,surgery to repair broken right hand (out indefinitely),hand/finger
2202,2012-07-19,Thunder,,Kendrick Perkins,surgery on left wrist to repair torn ligament (out indefinitely),wrist
2203,2012-07-27,Hornets,,Austin Rivers,surgery on right ankle to remove bone spurs (out indefinitely),ankle
2204,2012-08-05,Hornets,,Robin Lopez,surgery on left knee to repair medial meniscus,knee
2205,2012-08-21,Clippers,,Chris Paul,surgery on right thumb to repair torn ligament (out indefinitely),hand/finger
2206,2012-09-07,Knicks,,Ronnie Brewer,surgery on left knee to repair torn meniscus (out indefinitely),knee
2207,2012-09-11,Blazers,,Elliot Williams,torn left Achilles tendon (out indefinitely),illness
2208,2012-09-14,Blazers,,Elliot Williams,surgery to repair torn left Achilles tendon (out for season),illness
2209,2012-09-20,Suns,,Channing Frye,enlarged heart (out indefinitely),cardio
2210,2012-09-24,Lakers,,Steve Blake,foot injury (out indefinitely),foot
2211,2012-09-26,Grizzlies,,Darrell Arthur,fractured fibula in left leg (out indefinitely),leg
2212,2012-09-28,Wizards,,John Wall (a),stress fracture in left kneecap (out indefinitely),knee
2213,2012-10-01,76ers,,Andrew Bynum,rehab on knee (out indefinitely),knee
2214,2012-10-10,Knicks,,Chris Smith (c),surgery on knee (out indefinitely),knee
2215,2012-10-17,Timberwolves,,Kevin Love,fractured right hand (out indefinitely),hand/finger
2216,2012-10-19,Mavericks,,Dirk Nowitzki,arthroscopic surgery on right knee (out indefinitely),knee
2217,2012-10-21,Knicks,,Amare Stoudemire / Amar'e Stoudemire,ruptured cyst in left knee (out indefinitely),knee
2218,2012-10-30,Bulls,,Derrick Rose,recovering from surgery on left knee to repair torn ACL (out indefinitely),knee
2219,2012-10-30,Celtics,,Darko Milicic,back spasms (DTD),back
2220,2012-10-30,Clippers,,Grant Hill,bone bruise in right knee (DTD),bruise
2221,2012-10-30,Knicks,,Amare Stoudemire / Amar'e Stoudemire,arthroscopic surgery on left knee (out indefinitely) (date approximate),knee
2222,2012-10-30,Knicks,,Iman Shumpert,recovering from surgery on left knee to repair torn lateral meniscus / ACL (CBC) (out indefinitely),knee
2223,2012-10-30,Mavericks,,Jared Cunningham,sprained thumb (DTD),hand/finger
2224,2012-10-30,Nuggets,,Julyan Stone,surgery on hip (out indefinitely),hip
2225,2012-10-30,Pacers,,Danny Granger,sore left knee (out indefinitely),knee
2226,2012-10-30,Spurs,,Emanuel Ginobili / Manu Ginobili,back spasms (DTD),back
2227,2012-10-30,Celtics,,Avery Bradley,surgery on left shoulder (out indefinitely),shoulder
2228,2012-10-31,76ers,,Kwame Brown,strained left calf (DNP),calf
2229,2012-10-31,Kings,,Tyler Honeycutt,right leg injury (DTD),leg
2231,2012-10-31,Nuggets,,Danilo Gallinari,sprained left ankle (DNP),ankle
2232,2012-10-31,Warriors,,Andris Biedrins,groin injury (DNP),groin
2233,2012-11-02,Knicks,,Marcus Camby,strained left calf (DTD),calf
2234,2012-11-02,Magic,,Gustavo Ayon,sprained left thumb (DNP),hand/finger
2235,2012-11-02,Magic,,Maurice Harkless / Moe Harkless,surgery to repair hernia (DTD),Misc.
2236,2012-11-03,Hornets,,Anthony Davis,concussion (DNP),head
2237,2012-11-03,Nuggets,,Wilson Chandler,recovering from surgery on left hip to repair torn labrum (out indefinitely),hip
2238,2012-11-03,Warriors,,Brandon Rush,torn ACL in left knee (out for season),knee
2239,2012-11-04,Hawks,,Josh Smith,sprained right ankle (DNP),ankle
2240,2012-11-04,Magic,,Jameer Nelson,strained right hamstring (DNP),hamstring
2241,2012-11-05,76ers,,Jason Richardson,sprained left ankle (DNP),ankle
2242,2012-11-06,Bobcats,,Gerald Henderson (b),sprained left foot (out indefinitely),foot
2243,2012-11-06,Magic,,Jameer Nelson,strained right hamstring (DNP),hamstring
2244,2012-11-06,Mavericks,,Shawn Marion,sprained MCL in left knee (DTD),knee
2245,2012-11-07,76ers,,Jason Richardson,sprained left ankle (DNP),ankle
2246,2012-11-07,76ers,,Kwame Brown,strained left calf (DNP),calf
2247,2012-11-07,Hornets,,Anthony Davis,concussion (DNP),head
2248,2012-11-07,Hornets,,Austin Rivers,sprained left index finger (DNP),hand/finger
2249,2012-11-07,Lakers,,Earl Clark,strained left groin (out indefinitely),groin
2250,2012-11-07,Magic,,Jameer Nelson,strained groin (DNP),groin
2252,2012-11-07,Mavericks,,Rodrigue Beaubois,sprained left ankle (DNP),ankle
2253,2012-11-07,Suns,,Kendall Marshall,ankle injury (DNP),ankle
2255,2012-11-09,76ers,,Jason Richardson,sprained left ankle (DNP),ankle
2256,2012-11-09,76ers,,Kwame Brown,strained left calf (DNP),calf
2258,2012-11-09,Magic,,DeQuan Jones,groin injury (DTD),groin
2259,2012-11-09,Magic,,Jameer Nelson,strained right hamstring/groin (DNP),hamstring
2260,2012-11-09,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left foot (DNP),foot
2261,2012-11-10,76ers,,Jason Richardson,sprained left ankle (DNP),ankle
2262,2012-11-10,76ers,,Kwame Brown,strained left calf (DNP),calf
2263,2012-11-10,Jazz,,Maurice Williams / Mo Williams,strained right abductor (DNP),groin
2264,2012-11-10,Spurs,,DeJuan Blair,bruised left knee (DNP),bruise
2265,2012-11-10,Timberwolves,,Brandon Roy,sore right knee (DNP),knee
2266,2012-11-10,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left foot (DNP),foot
2267,2012-11-10,Warriors,,Jeremy Tyler,flu (DNP),illness
2269,2012-11-11,Timberwolves,,Chase Budinger,torn meniscus in left knee (out indefinitely),knee
2270,2012-11-12,76ers,,Kwame Brown,strained left calf (DNP),calf
2271,2012-11-12,Timberwolves,,Brandon Roy,sore right knee (DNP),knee
2272,2012-11-12,Timberwolves,,Chase Budinger,torn meniscus in left knee (surgery) (DNP),knee
2273,2012-11-12,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left foot (DNP),foot
2274,2012-11-13,Kings,,Francisco Garcia,flu (DNP),illness
2275,2012-11-13,Lakers,,Earl Clark,strained left groin (DNP),groin
2276,2012-11-13,Magic,,DeQuan Jones,sore left groin (DNP),groin
2277,2012-11-13,Magic,,Jameer Nelson,strained right hamstring/groin (DNP),hamstring
2278,2012-11-13,Timberwolves,,Chase Budinger,surgery on left knee to repair torn meniscus (out indefinitely),knee
2279,2012-11-14,Hawks,,Al Horford,stomach virus (DNP),illness
2280,2012-11-14,Hawks,,Devin Harris,strained left hamstring (DTD) (CBC),hamstring
2281,2012-11-14,Timberwolves,,Brandon Roy,sore right knee (DNP),knee
2282,2012-11-14,Timberwolves,,Chase Budinger,recovering from surgery on left knee to repair torn meniscus (DNP),knee
2283,2012-11-14,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left foot (DNP),foot
2284,2012-11-14,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP),ankle
2285,2012-11-15,Celtics,,Rajon Rondo,sprained right ankle (DNP),ankle
2286,2012-11-15,Nuggets,,Wilson Chandler,hip injury (DTD),hip
2287,2012-11-15,Raptors,,Landry Fields,ulnar nerve transpostion surgery on right elbow (out indefinitely),arm
2288,2012-11-15,Spurs,,Gary Neal,hand injury (DTD),hand/finger
2289,2012-11-16,Cavaliers,,Luke Harangody,surgury on right knee (out indefinitely),knee
2290,2012-11-16,Rockets,,Carlos Delfino,groin injury (DTD),groin
2291,2012-11-16,Spurs,,Kawhi Leonard,quadriceps tendinitis in left knee (out indefinitely),knee
2292,2012-11-16,Timberwolves,,Brandon Roy,sore right knee (DNP),knee
2293,2012-11-16,Timberwolves,,Chase Budinger,recovering from surgery on left knee to repair torn meniscus (DNP),knee
2294,2012-11-16,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left foot (DNP),foot
2295,2012-11-16,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP),ankle
2296,2012-11-17,Celtics,,Jason Collins,DNP,Misc.
2297,2012-11-17,Mavericks,,Rodrigue Beaubois,ankle injury (DNP),ankle
2298,2012-11-17,Nuggets,,Anthony Randolph,ankle injury (DTD),ankle
2299,2012-11-17,Spurs,,Kawhi Leonard,quadriceps tendinitis in left knee (DNP),knee
2300,2012-11-18,Cavaliers,,Daniel Gibson,sore right elbow (DTD),arm
2301,2012-11-18,Magic,,J.J. Redick,illness (DNP),illness
2302,2012-11-18,Rockets,,Carlos Delfino,groin injury (DNP),groin
2303,2012-11-19,Cavaliers,,Kyrie Irving,fractured left index finger (out indefinitely),hand/finger
2304,2012-11-19,Rockets,,Carlos Delfino,groin injury (DNP),groin
2305,2012-11-19,Spurs,,Kawhi Leonard,quadriceps tendinitis in left knee (DNP),knee
2306,2012-11-19,Spurs,,Stephen Jackson,fractured right pinky finger (out indefinitely),hand/finger
2308,2012-11-19,Timberwolves,,Brandon Roy,arthroscopic surgery on right knee (out indefinitely),knee
2309,2012-11-19,Warriors,,Richard Jefferson,strained right calf (DNP),calf
2310,2012-11-20,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2311,2012-11-21,Cavaliers,,Daniel Gibson,sore right elbow (DNP),arm
2312,2012-11-21,Clippers,,Caron Butler,strained right shoulder (DNP),shoulder
2313,2012-11-21,Heat,,Rashard Lewis,illness (DNP),illness
2314,2012-11-21,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2315,2012-11-21,Rockets,,Carlos Delfino,groin injury (DNP),groin
2316,2012-11-21,Rockets,,Cole Aldrich,sprained right ankle (DTD),ankle
2317,2012-11-21,Rockets,,Daequan Cook,sprained right ankle (DNP),ankle
2318,2012-11-21,Warriors,,Richard Jefferson,strained right calf (DNP),calf
2319,2012-11-23,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2320,2012-11-23,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2321,2012-11-23,Rockets,,Carlos Delfino,groin injury (DNP),groin
2322,2012-11-23,Rockets,,Cole Aldrich,sprained right ankle (DNP),ankle
2323,2012-11-23,Warriors,,Richard Jefferson,strained right calf (DNP),calf
2324,2012-11-24,Bobcats,,Bismack Biyombo,left leg injury (DTD),leg
2325,2012-11-24,Hawks,,DeShawn Stevenson,knee injury (DNP),knee
2326,2012-11-24,Jazz,,Maurice Williams / Mo Williams,sprained right foot (DNP),foot
2328,2012-11-24,Warriors,,Richard Jefferson,strained right calf (DNP),calf
2329,2012-11-25,Blazers,,LaMarcus Aldridge,sore back (DNP),back
2330,2012-11-25,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2332,2012-11-26,Grizzlies,,Mike Conley Jr.,flu (DNP),illness
2333,2012-11-26,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2334,2012-11-26,Jazz,,Maurice Williams / Mo Williams,sprained right foot (DNP),foot
2335,2012-11-26,Knicks,,Jason Kidd,lower back spasms (DNP),back
2336,2012-11-26,Wizards,,Nene / Nene Hilario / Maybyner Hilario,sore left foot (DNP),foot
2337,2012-11-26,Wizards,,Shaun Livingston,sore right shoulder (DNP),shoulder
2338,2012-11-27,Cavaliers,,Daniel Gibson,sore right elbow (DNP),arm
2340,2012-11-28,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2341,2012-11-28,Jazz,,Maurice Williams / Mo Williams,sprained right foot (DNP),foot
2342,2012-11-28,Knicks,,Jason Kidd,back spasms (DNP),back
2343,2012-11-28,Raptors,,Andrea Bargnani,sore left ankle (DNP),ankle
2344,2012-11-28,Rockets,,Chandler Parsons,sore right shoulder (DNP),shoulder
2345,2012-11-28,Timberwolves,,Andrei Kirilenko,back spasms (DNP),back
2346,2012-11-29,Nuggets,,Julyan Stone,right hip injury (DNP),hip
2347,2012-11-29,Spurs,,(William) Tony Parker,rest (DNP),rest
2348,2012-11-29,Spurs,,Danny Green,rest (DNP),rest
2349,2012-11-29,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DNP),rest
2350,2012-11-29,Spurs,,Tim Duncan,rest (DNP),rest
2351,2012-11-29,Warriors,,Richard Jefferson,strained right calf (DNP),calf
2352,2012-11-30,Grizzlies,,Tony Allen,strained right groin (DNP),groin
2353,2012-11-30,Jazz,,Marvin Williams,concussion (DNP),head
2354,2012-11-30,Kings,,Tyreke Evans,bruised left knee (DNP),bruise
2355,2012-11-30,Knicks,,Jason Kidd,back spasms (DNP),back
2356,2012-11-30,Magic,,Jameer Nelson,left Achilles tendinitis (DNP),illness
2357,2012-11-30,Pistons,,Austin Daye,illness (DNP),illness
2358,2012-11-30,Timberwolves,,Andrei Kirilenko,back spasms (DNP),back
2359,2012-12-01,76ers,,Nick Young,hyperextended left big toe (DNP),foot
2360,2012-12-01,Bucks,,Beno Udrih,sprained right ankle (DTD),ankle
2361,2012-12-01,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2362,2012-12-01,Jazz,,Derrick Favors,strained arch in right foot (DNP),foot
2363,2012-12-01,Jazz,,Marvin Williams,concussion (DNP),head
2364,2012-12-01,Kings,,Tyreke Evans,bruised left knee (DNP),bruise
2365,2012-12-01,Warriors,,Richard Jefferson,strained right calf (DNP),calf
2366,2012-12-02,Bulls,,Richard Hamilton,torn plantar fascia in left foot (out indefinitely),foot
2367,2012-12-02,Knicks,,Marcus Camby,sore left foot (DTD),foot
2368,2012-12-02,Suns,,Jermaine O'Neal,strained right quadricep (DNP),quad
2369,2012-12-03,Cavaliers,,Dion Waiters,sprained left ankle (DTD),ankle
2370,2012-12-03,Clippers,,Willie Green,knee injury (DNP),knee
2371,2012-12-03,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2372,2012-12-03,Jazz,,Derrick Favors,plantar fasciitis in right foot (DNP),foot
2373,2012-12-03,Jazz,,Marvin Williams,concussion (DNP),head
2374,2012-12-03,Lakers,,Steve Blake,surgery to repair torn abdominal muscle (out indefinitely) (date approximate),core
2375,2012-12-03,Raptors,,Linas Kleiza,sore left hip (DNP),hip
2376,2012-12-03,Warriors,,Richard Jefferson,strained right calf (DNP),calf
2377,2012-12-04,76ers,,Nick Young,hyperextended left big toe (DNP),foot
2378,2012-12-04,Lakers,,Pau Gasol,tendinitis in both knees (DNP),knee
2379,2012-12-04,Timberwolves,,Andrei Kirilenko,back spasms (DNP),back
2380,2012-12-05,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2381,2012-12-05,Jazz,,Derrick Favors,plantar fasciitis in right foot (DNP),foot
2382,2012-12-05,Knicks,,Marcus Camby,sore left foot (DNP),foot
2383,2012-12-05,Lakers,,Pau Gasol,tendinitis in both knees (DNP),knee
2384,2012-12-05,Spurs,,Danny Green,hamstring injury (DNP),hamstring
2385,2012-12-05,Spurs,,Patrick Mills / Patty Mills,ankle injury (DNP),ankle
2386,2012-12-05,Timberwolves,,Andrei Kirilenko,back spasms (DNP),back
2387,2012-12-06,Knicks,,Carmelo Anthony,laceration on left middle finger (DNP),hand/finger
2388,2012-12-06,Knicks,,Marcus Camby,sore left foot (DNP),foot
2389,2012-12-07,76ers,,Kwame Brown,stomach virus (DNP),illness
2390,2012-12-07,76ers,,Nick Young,hyperextended left big toe (DNP),foot
2391,2012-12-07,76ers,,Royal Ivey,strained right groin (DNP),groin
2392,2012-12-07,Celtics,,Leandro Barbosa,flu (DNP),illness
2393,2012-12-07,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2394,2012-12-07,Jazz,,Al Jefferson,back spasms (DNP),back
2395,2012-12-07,Jazz,,Derrick Favors,plantar fasciitis in right foot (DNP),foot
2396,2012-12-07,Kings,,Tyreke Evans,sore left knee (DNP),knee
2397,2012-12-07,Lakers,,Pau Gasol,tendinitis in both knees (DNP),knee
2398,2012-12-07,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2399,2012-12-08,76ers,,Nick Young,hyperextended left big toe (DNP),foot
2400,2012-12-08,76ers,,Royal Ivey,strained right groin (DNP),groin
2401,2012-12-08,Hawks,,DeShawn Stevenson,DNP,Misc.
2402,2012-12-08,Hornets,,Anthony Davis,stress reaction in left ankle (DNP),ankle
2403,2012-12-08,Kings,,Tyreke Evans,left knee injury (DNP),knee
2404,2012-12-08,Knicks,,Carmelo Anthony,laceration on left middle finger (DNP),hand/finger
2405,2012-12-08,Spurs,,DeJuan Blair,sprained left ankle (DNP),ankle
2406,2012-12-08,Suns,,P.J. Tucker,sprained right knee (DTD),knee
2407,2012-12-08,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2408,2012-12-09,Jazz,,Derrick Favors,plantar fasciitis in right foot (DNP),foot
2409,2012-12-09,Knicks,,Marcus Camby,sore left foot (DNP),foot
2410,2012-12-09,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2411,2012-12-09,Lakers,,Pau Gasol,tendinitis in both knees (DNP),knee
2412,2012-12-09,Raptors,,Mickael Pietrus,left knee tendinitis (DNP),knee
2413,2012-12-09,Suns,,Goran Dragic,flu (DNP),illness
